trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
194,False,"{'a': 0.5, 'e': 0.14370394977770293}",30,10,15.99072214626746,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",25,8,24.530948157683525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.140858420921045}",20,12,14.822170923212191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",30,15,11.559147162306184,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,10,15.660675941567519,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13669542544552385}",25,8,-31.327256226108013,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
200,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,8.137854711380465,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
201,False,"{'a': 0.5, 'e': 0.13398867466880493}",25,2,-46.17861734460165,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.13265546508012172}",20,9,4.553058761170114,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.13133552114849303}",30,16,1.1758476240896965,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.1300287108784259}",25,17,3.9500720387777317,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.12873490358780423}",25,13,-7.854882701241845,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.12745396989482075}",20,16,7.745560804478917,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.12618578170503877}",25,10,28.270870929625232,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.12493021219858241}",20,6,24.21361749029855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12368713581745483}",35,24,9.495285590099407,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,15,6.371278336906505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.12123796643338168}",20,0,-14.172717471115384,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
212,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,16,10.114908970876378,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11883729385240965}",20,13,0.5053148169669235,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11765484302177918}",20,0,-5.159869512165384,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
215,False,"{'a': 0.5, 'e': 0.11648415777349697}",30,18,-20.11696604392106,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.5, 'e': 0.11532512103806251}",35,9,34.80649256891336,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.1141776169108365}",20,0,-8.364342250151475,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
218,False,"{'a': 0.5, 'e': 0.11304153064044985}",25,8,-15.141003095553048,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
219,False,"{'a': 0.5, 'e': 0.11191674861732888}",25,8,30.665382074701835,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,14,18.066013054162266,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10970064851551141}",20,4,-27.499722114334734,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.10860910882495796}",25,20,6.625367589965172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10752843013579495}",20,1,13.911612383553953,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,0,29.738317729160904,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.10539922456186433}",20,0,3.05276919841851,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.104350484754765}",30,0,-0.3450716649023353,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
227,False,"{'a': 0.5, 'e': 0.1033121800831002}",20,2,-9.744389356684295,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
228,False,"{'a': 0.5, 'e': 0.10228420671553744}",25,0,22.60243105769093,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
229,False,"{'a': 0.5, 'e': 0.1012664618538834}",35,16,34.21686491099054,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
