trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,2,-116.14688147307096,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 3}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,16,-6.758416641782904,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,7,-17.93067130456385,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-5.1308738966501695,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,8,-78.39767058606715,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",35,0,-51.69665986778153,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,13,0.5192821514178885,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-41.256047255826246,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,0,-24.45563137740577,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,2,-60.21322501222097,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",20,3,-2.5831398602724995,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,0,-10.622704379811156,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,6,-2.7629841923688385,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,0,-79.88362269465516,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",35,18,-79.5138292390709,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,6,-9.037615866983991,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",30,0,-46.3777862057231,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,0,-49.33842175129437,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,12,-7.761286513129214,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,4,-18.630617106311163,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
